Pfad;Bild;Bedeckungsgrad_prozent
../data/input_images/X20220520_Spinat_Satz1/;image001.jpg;68.88
../data/input_images/X20220520_Spinat_Satz1/;image002.jpg;69.88
../data/input_images/X20220520_Spinat_Satz1/;image003.jpg;58.06
../data/input_images/X20220520_Spinat_Satz1/;image004.jpg;73.36
../data/input_images/X20220520_Spinat_Satz1/;image005.jpg;62.64
../data/input_images/X20220520_Spinat_Satz1/;image006.jpg;72.32
../data/input_images/X20220520_Spinat_Satz1/;image007.jpg;69.62
../data/input_images/X20220520_Spinat_Satz1/;image008.jpg;73.32
../data/input_images/X20220520_Spinat_Satz1/;image009.jpg;66.3
../data/input_images/X20220520_Spinat_Satz1/;image010.jpg;57.26
../data/input_images/X20220520_Spinat_Satz1/;image011.jpg;71.26
../data/input_images/X20220520_Spinat_Satz1/;image012.jpg;52.08
../data/input_images/X20220520_Spinat_Satz1/;image013.jpg;69.4
../data/input_images/X20220520_Spinat_Satz1/;image014.jpg;75.91
../data/input_images/X20220520_Spinat_Satz1/;image015.jpg;77.02
../data/input_images/X20220520_Spinat_Satz1/;image016.jpg;65.36
