Pfad;Bild;Bedeckungsgrad_prozent
../data/input_images/X20220404_Beispiel_Spinat/;Spinat1.jpg;27.25
../data/input_images/X20220404_Beispiel_Spinat/;Spinat2.jpg;61.2
../data/input_images/X20220404_Beispiel_Spinat/;Spinat3.jpg;51.86
../data/input_images/X20220404_Beispiel_Spinat/;Spinat4.jpg;47.41
../data/input_images/X20220404_Beispiel_Spinat/;Spinat5.jpg;23.54
../data/input_images/X20220404_Beispiel_Spinat/;Spinat6.jpg;72.11
../data/input_images/X20220404_Beispiel_Spinat/;Spinat7.jpg;93.95
