Pfad;Bild;Bedeckungsgrad_prozent
../data/input_images/X20240709_Onion_Saad/;3c8.jpeg;37.77
../data/input_images/X20240709_Onion_Saad/;3c9.jpeg;37.64
../data/input_images/X20240709_Onion_Saad/;3d10.jpeg;53.08
../data/input_images/X20240709_Onion_Saad/;3d11.jpeg;36.89
../data/input_images/X20240709_Onion_Saad/;3d12.jpeg;46.18
