Pfad;Bild;Bedeckungsgrad_prozent
../data/input_images/X20220506_Spinat_Satz1/;image001.jpg;3.47
../data/input_images/X20220506_Spinat_Satz1/;image002.jpg;3.38
../data/input_images/X20220506_Spinat_Satz1/;image003.jpg;2.73
../data/input_images/X20220506_Spinat_Satz1/;image004.jpg;3.12
../data/input_images/X20220506_Spinat_Satz1/;image005.jpg;4.01
../data/input_images/X20220506_Spinat_Satz1/;image006.jpg;3.85
../data/input_images/X20220506_Spinat_Satz1/;image007.jpg;2.59
../data/input_images/X20220506_Spinat_Satz1/;image008.jpg;2.83
../data/input_images/X20220506_Spinat_Satz1/;image009.jpg;3.24
../data/input_images/X20220506_Spinat_Satz1/;image010.jpg;3.03
../data/input_images/X20220506_Spinat_Satz1/;image011.jpg;2.78
../data/input_images/X20220506_Spinat_Satz1/;image012.jpg;2.19
../data/input_images/X20220506_Spinat_Satz1/;image013.jpg;3.61
../data/input_images/X20220506_Spinat_Satz1/;image014.jpg;3.69
../data/input_images/X20220506_Spinat_Satz1/;image015.jpg;2.89
